"31",2020-05-18,16013,14.76372281532,503,3.60018177585502,NA,NA,NA,NA,NA,0.74746455042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2656800519,0.718750032,2.2712523,NA,5.92936784,NA,NA,NA,NA,NA,NA,4.831208041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2020-05-19,16013,11.869541533,503,3.63222236638433,NA,NA,NA,NA,NA,0.702274872,NA,NA,NA,NA,NA,0.052177653,NA,NA,NA,NA,NA,0.291666659,0.614427866,1.3784461,NA,5.19402992,NA,0.111607143,NA,NA,NA,NA,3.52491132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2020-05-20,16013,10.86463728799,504,3.53985773445929,NA,NA,NA,NA,NA,0.56474053469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2440392543,0.480867328,1.858508496,NA,3.88188954,NA,0.115107922,NA,NA,NA,NA,3.719484213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2020-05-21,16013,14.02013960422,504,3.82596692986107,NA,NA,NA,NA,NA,0.44942434762,NA,NA,NA,NA,NA,NA,NA,NA,0.1708160344,NA,NA,0.2232200122,0.389024386,2.106383076,NA,5.08029192,NA,0.189228524,NA,NA,NA,NA,5.411751304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2020-05-22,16013,17.0357935289,505,3.67323145204144,NA,NA,NA,NA,NA,1.5303832659,NA,NA,NA,NA,NA,NA,NA,0.443977398,NA,NA,NA,NA,0.77235774,2.240319465,NA,4.9090908,NA,NA,NA,NA,NA,NA,7.13966486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2020-05-23,16013,18.162123782,505,3.61779046410324,NA,NA,NA,NA,NA,1.8252121239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2245384131,0.853658575,3.27326346,NA,5.0167224,NA,NA,NA,NA,NA,NA,6.96872881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2020-05-24,16013,18.6521177056,505,3.41297774192062,NA,NA,NA,NA,NA,1.414239831,NA,NA,NA,NA,NA,NA,NA,NA,0.281459421,NA,NA,NA,NA,4.683823573,NA,5.769231,NA,0.2708171206,NA,NA,NA,NA,6.23254676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2020-05-25,16013,14.793087291,505,3.45219804329283,NA,NA,NA,NA,NA,1.069054362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429248082,NA,3.231116889,NA,4.3003416,NA,0.293777134,NA,NA,NA,NA,5.469549224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2020-05-26,16013,15.266897932,505,3.69375210654623,NA,NA,NA,NA,NA,0.816186737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331763132,0.869718291,1.65743721,NA,4.9806948,NA,NA,NA,NA,NA,NA,6.611097762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2020-05-27,16013,13.959193836,505,3.6977953573029,NA,NA,NA,NA,NA,0.78029128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395454556,0.6642942,2.264432008,NA,4.41791072,NA,NA,NA,NA,NA,NA,5.436811072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
