"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","21019","24001","24021","24043","25019","26099","26115","26147","26163","36019","36029","36033","36063","36089","39009","39013","39043","39081","39087","39095","39111","39123","39167","42003","42051","42055","42059","42125","42129","50011","51043","51059","51069","51107","51840","54003","54011","54017","54019","54027","54031","54033","54035","54037","54039","54045","54049","54051","54061","54075","54077","54079","54081","54083","54099","54101","54107"
"44",2020-06-05,54011,67.146450554,69,3.88218441290429,4.62043335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019973856,NA,8.92641692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.89541136,0.476752788,NA,NA,NA,NA,NA,6.07590094,NA,NA,37.13156134,NA,NA
"45",2020-06-06,54011,65.203189914,70,3.86136534430982,4.31571816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036521688,NA,8.23233846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.038010102,0.487179494,NA,NA,NA,NA,NA,6.76076895,NA,NA,34.33265306,NA,NA
"46",2020-06-07,54011,58.106546846017,70,3.78173000772722,3.413818551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061580388,NA,7.27948459,0.142248067917,NA,0.0214874091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.145220772,0.470447258,NA,NA,NA,NA,NA,5.61559869,NA,NA,31.95666112,NA,NA
"47",2020-06-08,54011,68.231587493,70,3.85416149793426,4.45739229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.92058125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.456485818,0.537872995,NA,NA,NA,NA,NA,6.2011056,NA,NA,38.65814954,NA,NA
"48",2020-06-09,54011,69.168464962,70,3.83619778779627,4.811762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00066852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.66269874,0.352123542,NA,NA,NA,NA,NA,6.158192,NA,NA,39.18302016,NA,NA
"49",2020-06-10,54011,69.174515815,71,3.86614502198563,4.3092964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.52638541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.578329618,0.410887407,NA,NA,NA,NA,NA,6.49335942,NA,NA,39.85625756,NA,NA
"50",2020-06-11,54011,72.578493419763,71,3.90703645697597,4.3788756,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389615249763,NA,NA,NA,NA,NA,0,NA,9.07964022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.71904288,0.46028212,NA,NA,NA,NA,NA,6.59014443,NA,NA,40.96089292,NA,NA
"51",2020-06-12,54011,73.65948457627,72,3.95501893279571,5.032502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03938984927,NA,9.64765725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.829272137,0.59805286,NA,NA,NA,NA,NA,6.82275048,NA,NA,39.68986,NA,NA
"52",2020-04-22,54099,8.230577738,79,3.74682307938917,1.705334742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.608201496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9170415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2020-04-23,54099,7.332483476,75,3.28875925570199,1.749621762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.278317854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30454386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
